X, expected_r1, r1, expected_r2, r2,expected_r3, r3, expected_r4, r4,  Verdict
0, 0, 0,0,0,0,0,0,0,PASS
1, 1, 1,1,1,1,1,1,1,PASS
255, 255, 255,255,255,0,0,255,255,PASS
256, 0, 0,256,256,1,1,256,256,PASS
510, 254, 254,510,510,0,0,510,510,PASS
511, 255, 255,511,511,1,1,0,0,PASS
766, 254, 254,766,766,1,1,255,255,PASS
767, 255, 255,0,0,2,2,256,256,PASS
4294967295, 255, 255,463,463,0,0,31,31,PASS
4294967294, 254, 254,462,462,254,254,30,30,PASS
123456789, 21, 21,469,469,69,69,211,211,PASS
987654321, 177, 177,693,693,51,51,164,164,PASS
3141592653, 77, 77,537,537,48,48,423,423,PASS
2718281828, 100, 100,80,80,188,188,465,465,PASS
1414213562, 186, 186,554,554,137,137,111,111,PASS
1618033988, 68, 68,701,701,83,83,11,11,PASS
65535, 255, 255,340,340,0,0,127,127,PASS
65536, 0, 0,341,341,1,1,128,128,PASS
1048575, 255, 255,86,86,15,15,3,3,PASS
1048576, 0, 0,87,87,16,16,4,4,PASS
16777215, 255, 255,624,624,0,0,63,63,PASS
16777216, 0, 0,625,625,1,1,64,64,PASS
2147483647, 255, 255,231,231,127,127,15,15,PASS
2147483648, 0, 0,232,232,128,128,16,16,PASS
1111111111, 199, 199,396,396,121,121,376,376,PASS
2222222222, 142, 142,25,25,242,242,241,241,PASS
3333333333, 85, 85,421,421,108,108,106,106,PASS
444444444, 28, 28,158,158,99,99,150,150,PASS
555555555, 227, 227,581,581,60,60,443,443,PASS
666666666, 170, 170,237,237,21,21,225,225,PASS
777777777, 113, 113,660,660,237,237,7,7,PASS
888888888, 56, 56,316,316,198,198,300,300,PASS
999999999, 255, 255,739,739,159,159,82,82,PASS
12345, 57, 57,73,73,105,105,81,81,PASS
67890, 50, 50,394,394,60,60,438,438,PASS
1357924680, 72, 72,268,268,210,210,434,434,PASS
2468013579, 11, 11,96,96,159,159,87,87,PASS
975318642, 114, 114,675,675,252,252,25,25,PASS
864209753, 89, 89,173,173,218,218,421,421,PASS
1000000000, 0, 0,740,740,160,160,83,83,PASS
2000000000, 0, 0,713,713,65,65,166,166,PASS
3000000000, 0, 0,686,686,225,225,249,249,PASS
4000000000, 0, 0,659,659,130,130,332,332,PASS
4200000000, 0, 0,40,40,60,60,42,42,PASS
4290000000, 128, 128,260,260,105,105,167,167,PASS
10, 10, 10,10,10,10,10,10,10,PASS
100, 100, 100,100,100,100,100,100,100,PASS
1000, 232, 232,233,233,235,235,489,489,PASS
10000, 16, 16,29,29,55,55,291,291,PASS
100000, 160, 160,290,290,40,40,355,355,PASS
